category	country	country_short	lang	lang_short	name	region	subject	text	type	url	lat	lon
National	Libya	LY	Arabic	ar	lana-news	Africa	General News	lana-news	webnews	https://lana-news.ly/	26.8234472	18.1236723
Regional	Netherlands	NL	Dutch	nl	rtvutrecht	European Union	General News	RTV Utrecht	webnews	http://www.rtvutrecht.nl	52.10221155	5.1319839794700925
National	Belarus	BY	Russian	ru	babruysk	Europe Other	General News	Bobruiskii Kurer	webnews	http://babruysk.by/	53.4250605	27.6971358
National	Japan	JP	Japanese	ja	iwanichi	Asia	General News	Iwate Nichi Nichi Shimbun	webnews	http://www.iwanichi.co.jp/	36.5748441	139.2394179
National	Peru	PE	Spanish	es	caretas	South America	General News	Caretas	webnews	https://www.caretas.com.pe/	-6.8699697	-75.0458515
National	United Kingdom	GB	English	en	tankstoragemag	Europe Other	General News	tank storagemag	webnews	https://www.tankstoragemag.com/	54.702354500000006	-3.2765752999999997
National	United Kingdom	GB	English	en	nature-npjgenmed	Europe Other	General News	Nature - npj Genomic Medicine	webnews	https://www.nature.com/npjgenmed/	54.702354500000006	-3.2765752999999997
National	Sweden	SE	Swedish	sv	meetingsinternational	European Union	General News	Meetings International	webnews	http://www.meetingsinternational.se/	59.67497120000001	14.5208584
National	USA	US	English	en	startribune	North America	General News	Star Tribune	webnews	http://www.startribune.com	44.975612899999994	-93.26825699999999
National	Brazil	BR	Portuguese	pt	agenciaoglobo	South America	General News	Agencia Globo	webnews	http://www.agenciaoglobo.com.br/	-10.333333300000001	-53.2
National	Denmark	DK	Danish	da	avisen	European Union	General News	Avisen	webnews	https://www.avisen.dk/	55.670249	10.333328300000002
Local	Romania	RO	Romanian	ro	obiectivdevaslui	European Union	General News	Obiectiv devaslui	webnews	http://www.obiectivdevaslui.ro/	45.98521289999999	24.6859225
International	Switzerland	CH	German	de	20min	Europe Other	General News	20 Minuten	webnews	http://www.20min.ch/	47.396173	8.5446856
National	Germany	DE	English	en	clib2021	European Union	General News	CLIB 2021	webnews	http://www.clib2021.de/	51.0834196	10.4234469
National	Ireland	IE	English	en	offalyexpress	European Union	General News	Offaly Express	webnews	http://www.offalyexpress.ie/	52.865196	-7.9794599
National	Japan	JP	Japanese	ja	saitama-np	Asia	General News	Saitama Shimbun	webnews	http://www.saitama-np.co.jp/	35.9134518	139.61701169999998
International	Greece	GR	Modern Greek (1453-)	el	elkosmos	European Union	General News	elkosmos	webnews	http://elkosmos.gr	38.995368299999996	21.987713199999998
National	Ukraine	UA	Russian	ru	donbass	Europe Other	General News	donbass	webnews	http://donbass.ua/index.html	44.97739945	35.353594067654306
National	Russia	RU	Russian	ru	mngz	Asia	General News	mngz	webnews	https://www.mngz.ru/	64.6863136	97.7453061
National	Russia	RU	Russian	ru	parstoday	Asia	General News	parstoday	webnews	http://parstoday.com/ru	64.6863136	97.7453061
National	Belgium	BE	English	en	birdlife	European Union	General News	birdlife	webnews	http://www.birdlife.org/europe-and-central-asia	50.6402809	4.666714499999999
National	Congo, The Democratic Republic of the	CD	French	fr	actualite-cd	Africa	General News	Actualite CD	webnews	https://actualite.cd/		
National	Sudan	SD	English	en	newsudanvision	Africa	General News	The New Sudan Vision	webnews	http://www.newsudanvision.com/	15.58314485	32.53497675269898
National	Peru	PE	Spanish	es	politicosperu	South America	General News	Politicos Peru	webnews	http://www.politicosperu.com/	-6.8699697	-75.0458515
National	Belgium	BE	English	en	bbi-europe	European Union	General News	Bio-based Industries	webnews	https://www.bbi-europe.eu/	50.8349815	4.354762
Local	Spain	ES	Spanish	es	diarioHuelva	European Union	General News	Diario de Huelva	webnews	https://www.diariodehuelva.es/	39.3262345	-4.838064900000001
National	Belarus	BY	Russian	ru	belaruspartisan	Europe Other	General News	Belarus Partisan	webnews	https://belaruspartisan.by/	53.4250605	27.6971358
International	United Kingdom	GB	English	en	airforcetechnology	Europe Other	General News	Airforce Tecnology website	webnews	https://www.airforce-technology.com/	54.702354500000006	-3.2765752999999997
National	Kosovo	XK	English	en	unmik	Europe Other	General News	KOSOVO (UNMIK) UN Mission	webnews	https://unmik.unmissions.org	42.5869578	20.902123100000004
National	Japan	JP	Japanese	ja	daily-tohoku-news	Asia	General News	Daily Tohoky News	webnews	https://www.daily-tohoku.news/	36.5748441	139.2394179
International	Israel	IL	English	en	haaretz	Middle East	General News	Haaretz Daily Newspaper	webnews	https://www.haaretz.com/	31.531311300000002	34.8667654
National	United Kingdom	GB	English	en	thetimes	Europe Other	General News	The times	webnews	http://www.thetimes.co.uk/	53.749166599999995	-2.4855509999999996
National	Spain	ES	Spanish	es	que	European Union	General News	Qué!	webnews	https://www.que.es/	43.7337906	-7.7612105
National	USA	US	Hausa	ha	voanews-ha	North America	General News	VOA News - Muryar Amurka Hausa	webnews	https://www.voahausa.com/	39.7837304	-100.4458825
National	Italy	IT	Italian	it	ilgiornale	European Union	General News	Il Giornale	webnews	http://www.ilgiornale.it	45.4653323	9.1844258
International	Belgium	BE	English	en	rosalux	European Union	General News	migration NGO3 - Rosa Lux	webnews	https://www.rosalux.eu/	50.6402809	4.666714499999999
National	Russia	RU	English	en	rough-polished	Asia	General News	Rough and polished	webnews	http://www.rough-polished.com/	64.6863136	97.7453061
International	USA	US	English	en	wkbw	North America	General News	wkbw	webnews	http://www.wkbw.com/	42.88446915	-78.88098594997857
National	Bulgaria	BG	Bulgarian	bg	novinata	European Union	General News	novinata	webnews	http://novinata.bg/	42.6073975	25.4856617
National	Ukraine	UA	Russian	ru	expert-ua	Europe Other	General News	expert-ua	webnews	http://expert.org.ua/	49.4871968	31.2718321
National	Italy	IT	Italian	it	mondobalneare	European Union	General News	Mondo Balneare - Il portale degli stabilimenti balneari e del turismo in spiaggia	webnews	https://www.mondobalneare.com/	42.6384261	12.674297
National	Monaco	MC	French	fr	monacomatin	Europe Other	General News	Monaco Matin	webnews	https://www.monacomatin.mc/	43.73844905	7.424224092532952
National	USA	US	English	en	jckonline	North America	General News	JCK - Jewelry Industry News, Trends, and Analysis	webnews	http://www.jckonline.com/	39.7837304	-100.4458825
National	Greece	GR	Modern Greek (1453-)	el	inews-gr	European Union	General News	inews	webnews	http://www.inews.gr/	38.995368299999996	21.987713199999998
International	USA	US	English	en	therepublic	North America	General News	The Republic	webnews	http://www.therepublic.com/	39.8266503	-97.65808340000001
National	Norway	NO	Norwegian	no	nrk-no	Europe Other	General News	Adressa	webnews	https://www.nrk.no/	63.4329032	10.407515216571687
National	Central African Republic	CF	French	fr	corbeaunews-centrafrique	Africa	General News	Corbeaunews Centrafrique	webnews	https://corbeaunews-centrafrique.com/	7.0323598	19.9981227
International	Brazil	BR	Portuguese	pt	gazetadigital	South America	General News	Gazeta digital	webnews	http://www.gazetadigital.com.br/	-10.333333300000001	-53.2
National	Mali	ML	French	fr	kibaru	Africa	General News	Kibaru	webnews	https://www.kibaru.ml/fr/	12.6365726	-7.9912282999999995
National	Ukraine	UA	Russian	ru	62ua	Europe Other	General News	62ua	webnews	https://www.62.ua/news	49.4871968	31.2718321
National	USA	US	English	en	star-telegram	North America	General News	star-telegram	webnews	https://www.star-telegram.com/	32.751454100000004	-97.3315252813785
National	Italy	IT	Italian	it	onuitalia	European Union	General News	OnuItalia	webnews	http://www.onuitalia.com/	42.6384261	12.674297
International	Italy	IT	Italian	it	asianews	European Union	General News	AsiaNews	webnews	http://www.asianews.it/	42.6384261	12.674297
National	Portugal	PT	Portuguese	pt	24-sapo	European Union	General News	Sapo 24	webnews	https://24.sapo.pt	38.7303506	-9.1466209
National	Ireland	IE	English	en	breakingnews-ie	European Union	General News	Breaking NEWS	webnews	http://www.breakingnews.ie	52.865196	-7.9794599
